order_id,order_status,order_date,required_date
109,4,3/6/2016,3/9/2016
110,4,3/6/2016,3/8/2016
111,4,3/7/2016,3/10/2016
112,4,3/8/2016,3/11/2016
113,4,3/8/2016,3/11/2016
114,4,3/8/2016,3/10/2016
115,4,3/9/2016,3/11/2016
116,4,3/10/2016,3/11/2016
117,4,3/10/2016,3/13/2016
118,4,3/12/2016,3/14/2016
119,4,3/12/2016,3/14/2016
120,4,3/14/2016,3/15/2016
121,4,3/14/2016,3/15/2016
122,4,3/14/2016,3/16/2016
123,4,3/15/2016,3/18/2016
124,4,3/16/2016,3/18/2016
125,4,3/16/2016,3/19/2016
126,4,3/16/2016,3/18/2016
127,4,3/17/2016,3/18/2016
128,4,3/18/2016,3/20/2016
129,4,3/19/2016,3/21/2016
130,4,3/19/2016,3/22/2016
131,4,3/19/2016,3/22/2016
132,4,3/20/2016,3/22/2016
133,4,3/20/2016,3/22/2016
134,4,3/20/2016,3/21/2016
135,4,3/21/2016,3/23/2016
136,4,3/21/2016,3/24/2016
137,4,3/23/2016,3/26/2016
138,4,3/23/2016,3/24/2016
139,4,3/23/2016,3/24/2016
140,4,3/23/2016,3/26/2016
141,4,3/25/2016,3/27/2016
142,4,3/26/2016,3/27/2016
143,4,3/26/2016,3/28/2016
144,4,3/26/2016,3/29/2016
145,4,3/27/2016,3/29/2016
146,4,3/28/2016,3/30/2016
147,4,3/28/2016,3/31/2016
148,4,3/28/2016,3/30/2016
149,4,3/28/2016,3/30/2016
150,4,3/29/2016,3/31/2016
151,4,3/29/2016,4/1/2016
152,4,3/29/2016,3/30/2016
153,4,3/30/2016,4/2/2016
154,4,3/31/2016,4/1/2016
155,4,4/2/2016,4/3/2016
156,4,4/3/2016,4/6/2016
157,4,4/3/2016,4/6/2016
158,3,4/4/2016,4/4/2016
159,4,4/4/2016,4/6/2016
160,4,4/4/2016,4/6/2016
161,4,4/4/2016,4/7/2016
162,4,4/6/2016,4/8/2016
163,4,4/6/2016,4/7/2016
164,4,4/7/2016,4/8/2016
165,4,4/8/2016,4/10/2016
166,4,4/8/2016,4/11/2016
167,4,4/8/2016,4/9/2016
168,4,4/9/2016,4/12/2016
169,4,4/10/2016,4/11/2016
170,4,4/10/2016,4/11/2016
171,4,4/11/2016,4/14/2016
172,4,4/11/2016,4/12/2016
173,4,4/11/2016,4/14/2016
174,4,4/12/2016,4/13/2016
175,4,4/13/2016,4/14/2016
176,4,4/15/2016,4/16/2016
177,4,4/16/2016,4/19/2016
178,4,4/16/2016,4/17/2016
179,4,4/17/2016,4/19/2016
180,4,4/17/2016,4/20/2016
181,4,4/18/2016,4/20/2016
182,4,4/18/2016,4/19/2016
183,4,4/19/2016,4/20/2016
184,4,4/19/2016,4/21/2016
185,3,4/20/2016,4/20/2016
186,4,4/21/2016,4/22/2016
187,4,4/22/2016,4/23/2016
188,4,4/22/2016,4/23/2016
189,4,4/23/2016,4/24/2016
190,4,4/23/2016,4/25/2016
191,4,4/27/2016,4/28/2016
192,4,4/27/2016,4/28/2016
193,4,4/28/2016,4/30/2016
194,4,4/28/2016,4/30/2016
195,4,4/28/2016,5/1/2016
196,4,4/28/2016,4/30/2016
197,4,4/30/2016,5/3/2016
198,4,5/1/2016,5/4/2016
199,4,5/1/2016,5/4/2016
200,4,5/1/2016,5/3/2016
201,4,5/1/2016,5/4/2016
202,4,5/3/2016,5/5/2016
203,4,5/3/2016,5/5/2016
204,4,5/4/2016,5/7/2016
205,4,5/4/2016,5/5/2016
206,4,5/4/2016,5/6/2016
207,4,5/5/2016,5/7/2016
208,4,5/6/2016,5/7/2016
209,4,5/7/2016,5/8/2016
210,4,5/7/2016,5/8/2016
211,4,5/7/2016,5/9/2016
212,4,5/8/2016,5/9/2016
213,4,5/8/2016,5/9/2016
214,4,5/10/2016,5/12/2016
215,4,5/10/2016,5/13/2016
216,4,5/11/2016,5/14/2016
217,4,5/11/2016,5/12/2016
218,4,5/12/2016,5/14/2016
219,4,5/12/2016,5/15/2016
220,4,5/12/2016,5/14/2016
221,4,5/13/2016,5/16/2016
222,4,5/13/2016,5/16/2016
223,4,5/15/2016,5/16/2016
224,4,5/17/2016,5/18/2016
225,4,5/17/2016,5/20/2016
226,4,5/17/2016,5/19/2016
227,4,5/17/2016,5/18/2016
228,4,5/17/2016,5/20/2016
229,4,5/19/2016,5/21/2016
230,4,5/19/2016,5/20/2016
231,4,5/19/2016,5/22/2016
232,4,5/20/2016,5/23/2016
233,4,5/21/2016,5/22/2016
234,4,5/22/2016,5/24/2016
235,4,5/24/2016,5/25/2016
236,4,5/25/2016,5/27/2016
237,4,5/25/2016,5/26/2016
238,4,5/26/2016,5/29/2016
239,3,5/27/2016,5/27/2016
240,4,5/27/2016,5/29/2016
241,4,5/27/2016,5/29/2016
242,4,5/27/2016,5/30/2016
243,4,5/27/2016,5/30/2016
244,4,5/28/2016,5/29/2016
245,4,5/29/2016,5/31/2016
246,3,5/30/2016,5/30/2016
247,4,5/30/2016,6/1/2016
248,4,5/30/2016,6/1/2016
249,4,6/1/2016,6/4/2016
250,4,6/1/2016,6/2/2016
251,4,6/1/2016,6/4/2016
252,4,6/1/2016,6/4/2016
253,4,6/2/2016,6/5/2016
254,4,6/3/2016,6/6/2016
255,4,6/3/2016,6/6/2016
256,4,6/4/2016,6/5/2016
257,4,6/5/2016,6/6/2016
258,4,6/6/2016,6/7/2016
259,4,6/6/2016,6/9/2016
260,4,6/6/2016,6/8/2016
261,4,6/8/2016,6/10/2016
262,4,6/8/2016,6/11/2016
263,4,6/9/2016,6/10/2016
264,3,6/10/2016,6/10/2016
265,4,6/10/2016,6/12/2016
266,4,6/10/2016,6/13/2016
267,4,6/11/2016,6/14/2016
268,4,6/11/2016,6/14/2016
269,4,6/12/2016,6/13/2016
270,4,6/12/2016,6/15/2016
271,4,6/13/2016,6/16/2016
272,4,6/15/2016,6/18/2016
273,4,6/16/2016,6/19/2016
274,4,6/17/2016,6/20/2016
275,4,6/17/2016,6/19/2016
276,4,6/18/2016,6/19/2016
277,4,6/19/2016,6/20/2016
278,4,6/20/2016,6/23/2016
279,4,6/21/2016,6/22/2016
280,4,6/21/2016,6/22/2016
281,4,6/21/2016,6/22/2016
282,4,6/22/2016,6/25/2016
283,4,6/23/2016,6/26/2016
284,4,6/23/2016,6/25/2016
285,4,6/25/2016,6/26/2016
286,4,6/25/2016,6/26/2016
287,4,6/25/2016,6/26/2016
288,4,6/25/2016,6/28/2016
289,4,6/27/2016,6/28/2016
290,4,6/28/2016,6/29/2016
291,4,6/29/2016,6/30/2016
292,4,6/29/2016,6/30/2016
293,4,6/30/2016,7/3/2016
294,4,7/1/2016,7/2/2016
295,4,7/1/2016,7/4/2016
296,4,7/4/2016,7/7/2016
297,4,7/4/2016,7/5/2016
298,4,7/4/2016,7/7/2016
299,4,7/5/2016,7/6/2016
300,4,7/5/2016,7/8/2016
301,4,7/6/2016,7/9/2016
302,4,7/6/2016,7/7/2016
303,4,7/7/2016,7/8/2016
304,4,7/7/2016,7/8/2016
305,4,7/7/2016,7/8/2016
306,4,7/9/2016,7/10/2016
307,4,7/9/2016,7/11/2016
308,4,7/11/2016,7/12/2016
309,4,7/11/2016,7/13/2016
310,4,7/12/2016,7/13/2016
311,4,7/12/2016,7/14/2016
312,4,7/13/2016,7/15/2016
313,4,7/14/2016,7/15/2016
314,4,7/15/2016,7/17/2016
315,4,7/16/2016,7/19/2016
316,4,7/17/2016,7/20/2016
317,4,7/17/2016,7/20/2016
318,4,7/17/2016,7/19/2016
319,4,7/18/2016,7/21/2016
320,4,7/19/2016,7/20/2016
321,4,7/19/2016,7/22/2016
322,4,7/19/2016,7/22/2016
323,4,7/19/2016,7/22/2016
324,4,7/20/2016,7/22/2016
325,4,7/20/2016,7/21/2016
326,4,7/20/2016,7/21/2016
327,4,7/21/2016,7/24/2016
328,4,7/23/2016,7/26/2016
329,4,7/24/2016,7/27/2016
330,4,7/24/2016,7/27/2016
331,4,7/24/2016,7/26/2016
332,4,7/24/2016,7/26/2016
333,4,7/25/2016,7/27/2016
334,4,7/25/2016,7/28/2016
335,4,7/25/2016,7/27/2016
336,4,7/26/2016,7/29/2016
337,4,7/26/2016,7/27/2016
338,4,7/28/2016,7/29/2016
339,4,7/28/2016,7/31/2016
340,4,7/29/2016,7/30/2016
341,4,7/31/2016,8/3/2016
342,4,7/31/2016,8/1/2016
343,4,7/31/2016,8/2/2016
344,4,8/1/2016,8/3/2016
345,4,8/1/2016,8/4/2016
346,4,8/1/2016,8/3/2016
347,4,8/2/2016,8/3/2016
348,4,8/2/2016,8/5/2016
349,3,8/3/2016,8/3/2016
350,3,8/3/2016,8/3/2016
351,4,8/3/2016,8/6/2016
352,4,8/3/2016,8/4/2016
353,4,8/3/2016,8/6/2016
354,4,8/3/2016,8/5/2016
355,4,8/3/2016,8/5/2016
356,4,8/4/2016,8/7/2016
357,3,8/5/2016,8/5/2016
358,4,8/5/2016,8/7/2016
359,4,8/7/2016,8/10/2016
360,4,8/7/2016,8/9/2016
361,4,8/8/2016,8/9/2016
362,4,8/9/2016,8/11/2016
363,4,8/11/2016,8/12/2016
364,4,8/12/2016,8/14/2016
365,4,8/13/2016,8/14/2016
366,4,8/13/2016,8/14/2016
367,4,8/14/2016,8/15/2016
368,4,8/14/2016,8/15/2016
369,4,8/15/2016,8/18/2016
370,4,8/15/2016,8/18/2016
371,4,8/15/2016,8/16/2016
372,4,8/16/2016,8/18/2016
373,4,8/16/2016,8/19/2016
374,4,8/17/2016,8/19/2016
375,4,8/17/2016,8/20/2016
376,4,8/17/2016,8/19/2016
377,4,8/17/2016,8/19/2016
378,4,8/17/2016,8/20/2016
379,4,8/18/2016,8/21/2016
380,4,8/19/2016,8/20/2016
381,4,8/19/2016,8/21/2016
382,4,8/20/2016,8/23/2016
383,4,8/20/2016,8/23/2016
384,4,8/20/2016,8/22/2016
385,4,8/20/2016,8/23/2016
386,4,8/20/2016,8/23/2016
387,4,8/20/2016,8/21/2016
388,4,8/21/2016,8/24/2016
389,4,8/22/2016,8/24/2016
390,4,8/22/2016,8/24/2016
391,3,8/23/2016,8/23/2016
392,4,8/23/2016,8/26/2016
393,4,8/25/2016,8/26/2016
394,4,8/26/2016,8/28/2016
395,4,8/26/2016,8/27/2016
396,4,8/27/2016,8/30/2016
397,4,8/28/2016,8/31/2016
398,4,8/29/2016,8/30/2016
399,4,8/29/2016,9/1/2016
400,4,8/29/2016,8/30/2016
401,4,8/30/2016,9/2/2016
402,4,8/30/2016,9/1/2016
403,4,8/31/2016,9/1/2016
404,4,8/31/2016,9/3/2016
405,4,8/31/2016,9/1/2016
406,4,8/31/2016,9/2/2016
407,3,9/1/2016,9/1/2016
408,4,9/1/2016,9/2/2016
409,4,9/1/2016,9/4/2016
410,4,9/1/2016,9/3/2016
411,4,9/2/2016,9/4/2016
412,4,9/2/2016,9/4/2016
413,4,9/2/2016,9/5/2016
414,4,9/3/2016,9/6/2016
415,4,9/3/2016,9/6/2016
416,4,9/3/2016,9/4/2016
417,4,9/4/2016,9/5/2016
418,4,9/4/2016,9/5/2016
419,4,9/4/2016,9/7/2016
420,4,9/5/2016,9/6/2016
421,4,9/5/2016,9/6/2016
422,4,9/6/2016,9/7/2016
423,4,9/6/2016,9/9/2016
424,4,9/8/2016,9/11/2016
425,4,9/8/2016,9/11/2016
426,4,9/8/2016,9/10/2016
427,4,9/9/2016,9/10/2016
428,4,9/9/2016,9/12/2016
429,4,9/10/2016,9/12/2016
430,4,9/11/2016,9/13/2016
431,4,9/11/2016,9/12/2016
432,4,9/12/2016,9/15/2016
433,4,9/12/2016,9/15/2016
434,4,9/13/2016,9/15/2016
435,4,9/14/2016,9/15/2016
436,4,9/16/2016,9/19/2016
437,4,9/16/2016,9/18/2016
438,4,9/16/2016,9/19/2016
439,4,9/17/2016,9/20/2016
440,4,9/17/2016,9/18/2016
441,4,9/18/2016,9/19/2016
442,4,9/18/2016,9/21/2016
443,4,9/18/2016,9/19/2016
444,4,9/19/2016,9/20/2016
445,4,9/19/2016,9/22/2016
446,4,9/19/2016,9/21/2016
447,4,9/20/2016,9/23/2016
448,4,9/21/2016,9/22/2016
449,4,9/21/2016,9/24/2016
450,4,9/21/2016,9/24/2016
451,4,9/21/2016,9/23/2016
452,4,9/22/2016,9/23/2016
453,4,9/22/2016,9/24/2016
454,4,9/23/2016,9/25/2016
455,4,9/23/2016,9/24/2016
456,4,9/23/2016,9/26/2016
457,4,9/24/2016,9/27/2016
458,4,9/25/2016,9/28/2016
459,4,9/25/2016,9/28/2016
460,4,9/25/2016,9/27/2016
461,4,9/26/2016,9/27/2016
462,4,9/27/2016,9/28/2016
463,4,9/27/2016,9/28/2016
464,4,9/28/2016,9/30/2016
465,4,9/28/2016,10/1/2016
466,4,9/28/2016,9/29/2016
467,4,9/28/2016,9/30/2016
468,4,9/29/2016,10/2/2016
469,4,9/29/2016,10/2/2016
470,4,9/30/2016,10/2/2016
471,4,9/30/2016,10/2/2016
472,4,9/30/2016,10/1/2016
473,4,9/30/2016,10/2/2016
474,4,10/1/2016,10/4/2016
475,4,10/1/2016,10/4/2016
476,4,10/1/2016,10/4/2016
477,4,10/2/2016,10/5/2016
478,4,10/2/2016,10/5/2016
479,4,10/3/2016,10/4/2016
480,4,10/4/2016,10/7/2016
481,4,10/4/2016,10/7/2016
482,4,10/5/2016,10/6/2016
483,4,10/6/2016,10/7/2016
484,4,10/6/2016,10/9/2016
485,4,10/6/2016,10/8/2016
486,4,10/6/2016,10/8/2016
487,4,10/6/2016,10/9/2016
488,4,10/6/2016,10/9/2016
489,4,10/6/2016,10/8/2016
490,4,10/7/2016,10/10/2016
491,4,10/8/2016,10/10/2016
492,4,10/9/2016,10/10/2016
493,4,10/9/2016,10/12/2016
494,4,10/9/2016,10/10/2016
495,4,10/10/2016,10/12/2016
496,4,10/10/2016,10/12/2016
497,4,10/10/2016,10/11/2016
498,4,10/10/2016,10/12/2016
499,4,10/11/2016,10/14/2016
500,4,10/11/2016,10/12/2016
501,4,10/11/2016,10/12/2016
502,4,10/12/2016,10/13/2016
503,4,10/13/2016,10/16/2016
504,4,10/14/2016,10/15/2016
505,4,10/14/2016,10/16/2016
506,4,10/14/2016,10/16/2016
507,4,10/15/2016,10/17/2016
508,4,10/15/2016,10/18/2016
509,4,10/16/2016,10/17/2016
510,4,10/17/2016,10/18/2016
511,4,10/18/2016,10/20/2016
512,4,10/19/2016,10/22/2016
513,4,10/19/2016,10/21/2016
514,4,10/19/2016,10/21/2016
515,4,10/19/2016,10/20/2016
516,4,10/21/2016,10/23/2016
517,4,10/21/2016,10/22/2016
518,4,10/22/2016,10/24/2016
519,4,10/22/2016,10/23/2016
520,4,10/23/2016,10/26/2016
521,4,10/23/2016,10/25/2016
522,4,10/23/2016,10/24/2016
523,4,10/24/2016,10/26/2016
524,4,10/25/2016,10/26/2016
525,4,10/26/2016,10/28/2016
526,4,10/26/2016,10/28/2016
527,4,10/27/2016,10/29/2016
528,4,10/28/2016,10/31/2016
529,4,10/28/2016,10/30/2016
530,4,10/28/2016,10/31/2016
531,4,10/28/2016,10/29/2016
532,4,10/29/2016,10/31/2016
533,4,10/29/2016,11/1/2016
534,4,10/29/2016,10/30/2016
535,4,10/29/2016,10/31/2016
536,4,10/31/2016,11/2/2016
537,4,10/31/2016,11/1/2016
538,4,11/2/2016,11/5/2016
539,4,11/2/2016,11/4/2016
540,4,11/3/2016,11/5/2016
541,4,11/4/2016,11/7/2016
542,4,11/4/2016,11/6/2016
543,4,11/6/2016,11/9/2016
544,4,11/6/2016,11/7/2016
545,4,11/8/2016,11/10/2016
546,4,11/9/2016,11/12/2016
547,4,11/9/2016,11/11/2016
548,4,11/11/2016,11/13/2016
549,3,11/12/2016,11/12/2016
550,4,11/12/2016,11/14/2016
551,4,11/12/2016,11/13/2016
552,4,11/12/2016,11/15/2016
553,4,11/12/2016,11/13/2016
554,4,11/13/2016,11/14/2016
555,4,11/13/2016,11/14/2016
556,4,11/13/2016,11/14/2016
557,4,11/14/2016,11/17/2016
558,4,11/15/2016,11/16/2016
559,4,11/16/2016,11/17/2016
560,4,11/18/2016,11/19/2016
561,4,11/19/2016,11/22/2016
562,4,11/19/2016,11/20/2016
563,4,11/20/2016,11/22/2016
564,4,11/20/2016,11/23/2016
565,4,11/21/2016,11/22/2016
566,4,11/22/2016,11/25/2016
567,4,11/22/2016,11/23/2016
568,4,11/23/2016,11/25/2016
569,4,11/23/2016,11/24/2016
570,4,11/23/2016,11/24/2016
571,4,11/24/2016,11/25/2016
572,4,11/24/2016,11/26/2016
573,4,11/24/2016,11/26/2016
574,4,11/26/2016,11/27/2016
575,4,11/27/2016,11/28/2016
576,4,11/27/2016,11/30/2016
577,4,11/27/2016,11/30/2016
578,4,11/27/2016,11/28/2016
579,4,11/27/2016,11/30/2016
580,4,11/30/2016,12/2/2016
581,4,12/3/2016,12/5/2016
582,3,12/4/2016,12/4/2016
583,4,12/4/2016,12/5/2016
584,4,12/4/2016,12/5/2016
585,4,12/4/2016,12/5/2016
586,4,12/4/2016,12/6/2016
587,4,12/6/2016,12/8/2016
588,4,12/6/2016,12/7/2016
589,4,12/6/2016,12/7/2016
590,4,12/6/2016,12/9/2016
591,4,12/6/2016,12/9/2016
592,4,12/6/2016,12/8/2016
593,4,12/7/2016,12/10/2016
594,4,12/7/2016,12/8/2016
595,4,12/8/2016,12/9/2016
596,4,12/8/2016,12/9/2016
597,4,12/8/2016,12/9/2016
598,3,12/9/2016,12/9/2016
599,4,12/9/2016,12/10/2016
600,4,12/9/2016,12/12/2016
601,4,12/9/2016,12/10/2016
602,4,12/9/2016,12/10/2016
603,4,12/9/2016,12/10/2016
604,4,12/10/2016,12/13/2016
605,4,12/10/2016,12/11/2016
606,4,12/11/2016,12/12/2016
607,4,12/11/2016,12/14/2016
608,4,12/12/2016,12/15/2016
609,4,12/12/2016,12/13/2016
610,4,12/13/2016,12/15/2016
611,4,12/15/2016,12/17/2016
612,4,12/16/2016,12/17/2016
613,4,12/17/2016,12/19/2016
614,4,12/18/2016,12/21/2016
615,4,12/19/2016,12/22/2016
616,4,12/20/2016,12/23/2016
617,4,12/21/2016,12/23/2016
618,4,12/21/2016,12/22/2016
619,4,12/22/2016,12/25/2016
620,4,12/22/2016,12/24/2016
621,4,12/23/2016,12/25/2016
622,4,12/23/2016,12/26/2016
623,4,12/24/2016,12/26/2016
624,4,12/24/2016,12/25/2016
625,4,12/25/2016,12/28/2016
626,4,12/25/2016,12/28/2016
627,4,12/25/2016,12/26/2016
628,4,12/26/2016,12/29/2016
629,4,12/26/2016,12/27/2016
630,4,12/26/2016,12/27/2016
631,4,12/27/2016,12/29/2016
632,4,12/27/2016,12/29/2016
633,4,12/28/2016,12/31/2016
634,4,12/29/2016,1/1/2017
635,4,12/30/2016,1/2/2017
636,4,1/3/2017,1/4/2017
637,4,1/3/2017,1/5/2017
638,4,1/4/2017,1/5/2017
639,4,1/6/2017,1/7/2017
640,4,1/6/2017,1/8/2017
641,4,1/7/2017,1/10/2017
642,4,1/7/2017,1/9/2017
643,4,1/8/2017,1/9/2017
644,4,1/8/2017,1/11/2017
645,4,1/8/2017,1/11/2017
646,4,1/9/2017,1/12/2017
647,4,1/9/2017,1/10/2017
648,4,1/9/2017,1/11/2017
649,4,1/10/2017,1/11/2017
650,4,1/11/2017,1/14/2017
651,4,1/11/2017,1/13/2017
652,4,1/12/2017,1/15/2017
653,4,1/14/2017,1/17/2017
654,4,1/14/2017,1/15/2017
655,4,1/16/2017,1/17/2017
656,4,1/16/2017,1/17/2017
657,4,1/17/2017,1/19/2017
658,4,1/17/2017,1/18/2017
659,4,1/17/2017,1/19/2017
660,4,1/18/2017,1/19/2017
661,4,1/18/2017,1/19/2017
662,4,1/19/2017,1/20/2017
663,4,1/20/2017,1/22/2017
664,4,1/20/2017,1/23/2017
665,4,1/21/2017,1/22/2017
666,4,1/21/2017,1/22/2017
667,4,1/22/2017,1/24/2017
668,4,1/22/2017,1/23/2017
669,4,1/23/2017,1/24/2017
670,4,1/24/2017,1/25/2017
671,4,1/25/2017,1/28/2017
672,4,1/26/2017,1/29/2017
673,4,1/26/2017,1/28/2017
674,4,1/27/2017,1/28/2017
675,4,1/28/2017,1/31/2017
676,4,1/28/2017,1/30/2017
677,4,1/28/2017,1/31/2017
678,4,1/28/2017,1/29/2017
679,4,1/29/2017,1/30/2017
680,4,1/29/2017,2/1/2017
681,4,1/29/2017,2/1/2017
682,4,1/29/2017,1/30/2017
683,4,1/29/2017,1/31/2017
684,4,1/31/2017,2/1/2017
685,4,1/31/2017,2/3/2017
686,4,2/1/2017,2/3/2017
687,4,2/2/2017,2/5/2017
688,4,2/2/2017,2/3/2017
689,4,2/2/2017,2/3/2017
690,4,2/3/2017,2/4/2017
691,4,2/4/2017,2/6/2017
692,3,2/5/2017,2/5/2017
693,4,2/5/2017,2/7/2017
694,4,2/5/2017,2/6/2017
695,4,2/5/2017,2/8/2017
696,4,2/5/2017,2/8/2017
697,4,2/6/2017,2/8/2017
698,4,2/6/2017,2/8/2017
699,4,2/6/2017,2/8/2017
700,4,2/7/2017,2/10/2017
701,4,2/7/2017,2/8/2017
702,4,2/8/2017,2/9/2017
703,4,2/8/2017,2/9/2017
704,4,2/8/2017,2/9/2017
705,4,2/8/2017,2/11/2017
706,4,2/9/2017,2/12/2017
707,4,2/9/2017,2/11/2017
708,4,2/10/2017,2/12/2017
709,4,2/11/2017,2/13/2017
710,4,2/13/2017,2/15/2017
711,4,2/13/2017,2/16/2017
712,4,2/13/2017,2/14/2017
713,4,2/13/2017,2/14/2017
714,4,2/14/2017,2/17/2017
715,3,2/15/2017,2/15/2017
716,4,2/15/2017,2/17/2017
717,4,2/15/2017,2/18/2017
718,4,2/16/2017,2/17/2017
719,4,2/16/2017,2/19/2017
720,4,2/16/2017,2/19/2017
721,4,2/16/2017,2/19/2017
722,4,2/18/2017,2/20/2017
723,4,2/19/2017,2/21/2017
724,4,2/19/2017,2/22/2017
725,4,2/19/2017,2/22/2017
726,4,2/19/2017,2/22/2017
727,4,2/19/2017,2/22/2017
728,4,2/20/2017,2/21/2017
729,4,2/20/2017,2/22/2017
730,4,2/21/2017,2/24/2017
731,4,2/25/2017,2/27/2017
732,4,2/26/2017,2/27/2017
733,4,2/26/2017,3/1/2017
734,4,2/26/2017,2/28/2017
735,3,2/27/2017,2/27/2017
736,4,2/27/2017,2/28/2017
737,4,2/27/2017,3/1/2017
738,4,2/28/2017,3/1/2017
739,4,2/28/2017,3/1/2017
740,4,2/28/2017,3/1/2017
741,4,2/28/2017,3/1/2017
742,4,2/28/2017,3/1/2017
743,4,3/1/2017,3/4/2017
744,4,3/1/2017,3/2/2017
745,4,3/1/2017,3/3/2017
746,4,3/2/2017,3/4/2017
747,4,3/3/2017,3/4/2017
748,4,3/3/2017,3/5/2017
749,4,3/4/2017,3/7/2017
750,4,3/4/2017,3/7/2017
751,4,3/5/2017,3/8/2017
752,4,3/5/2017,3/6/2017
753,4,3/5/2017,3/8/2017
754,4,3/6/2017,3/7/2017
755,4,3/6/2017,3/7/2017
756,4,3/6/2017,3/7/2017
757,4,3/6/2017,3/8/2017
758,4,3/6/2017,3/8/2017
759,4,3/7/2017,3/9/2017
760,4,3/7/2017,3/10/2017
761,4,3/7/2017,3/8/2017
762,4,3/8/2017,3/9/2017
763,4,3/8/2017,3/10/2017
764,4,3/9/2017,3/10/2017
765,4,3/9/2017,3/11/2017
766,4,3/9/2017,3/11/2017
767,4,3/9/2017,3/10/2017
768,4,3/9/2017,3/12/2017
769,4,3/9/2017,3/11/2017
770,4,3/9/2017,3/11/2017
771,4,3/11/2017,3/14/2017
772,4,3/11/2017,3/12/2017
773,4,3/11/2017,3/12/2017
774,4,3/12/2017,3/14/2017
775,4,3/12/2017,3/13/2017
776,4,3/13/2017,3/15/2017
